word,value
abandon,-2.0
abandoned,-2.0
abandons,-2.0
abducted,-2.0
abduction,-2.0
abductions,-2.0
abhor,-3.0
abhorred,-3.0
abhorrent,-3.0
abhors,-3.0
abilities,2.0
ability,2.0
aboard,1.0
absentee,-1.0
absentees,-1.0
absolve,2.0
absolved,2.0
absolves,2.0
absolving,2.0
absorbed,1.0
abuse,-3.0
abused,-3.0
abuses,-3.0
abusive,-3.0
accept,1.0
accepted,1.0
accepting,1.0
accepts,1.0
accident,-2.0
accidental,-2.0
accidentally,-2.0
accidents,-2.0
accomplish,2.0
accomplished,2.0
accomplishes,2.0
accusation,-2.0
accusations,-2.0
accuse,-2.0
accused,-2.0
accuses,-2.0
accusing,-2.0
ache,-2.0
achievable,1.0
aching,-2.0
acquit,2.0
acquits,2.0
acquitted,2.0
acquitting,2.0
acrimonious,-3.0
active,1.0
adequate,1.0
admire,3.0
admired,3.0
admires,3.0
admiring,3.0
admit,-1.0
admits,-1.0
admitted,-1.0
admonish,-2.0
admonished,-2.0
adopt,1.0
adopts,1.0
adorable,3.0
adore,3.0
adored,3.0
adores,3.0
advanced,1.0
advantage,2.0
advantages,2.0
adventure,2.0
adventures,2.0
adventurous,2.0
affected,-1.0
affection,3.0
affectionate,3.0
afflicted,-1.0
affronted,-1.0
afraid,-2.0
aggravate,-2.0
aggravated,-2.0
aggravates,-2.0
aggravating,-2.0
aggression,-2.0
aggressions,-2.0
aggressive,-2.0
aghast,-2.0
agog,2.0
agonise,-3.0
agonised,-3.0
agonises,-3.0
agonising,-3.0
agonize,-3.0
agonized,-3.0
agonizes,-3.0
agonizing,-3.0
agree,1.0
agreeable,2.0
agreed,1.0
agreement,1.0
agrees,1.0
alarm,-2.0
alarmed,-2.0
alarmist,-2.0
alarmists,-2.0
alas,-1.0
alert,-1.0
alienation,-2.0
alive,1.0
allergic,-2.0
allow,1.0
alone,-2.0
amaze,2.0
amazed,2.0
amazes,2.0
amazing,4.0
ambitious,2.0
ambivalent,-1.0
amuse,3.0
amused,3.0
amusement,3.0
amusements,3.0
anger,-3.0
angers,-3.0
angry,-3.0
anguish,-3.0
anguished,-3.0
animosity,-2.0
annoy,-2.0
annoyance,-2.0
annoyed,-2.0
annoying,-2.0
annoys,-2.0
antagonistic,-2.0
anti,-1.0
anticipation,1.0
anxiety,-2.0
anxious,-2.0
apathetic,-3.0
apathy,-3.0
apeshit,-3.0
apocalyptic,-2.0
apologise,-1.0
apologised,-1.0
apologises,-1.0
apologising,-1.0
apologize,-1.0
apologized,-1.0
apologizes,-1.0
apologizing,-1.0
apology,-1.0
appalled,-2.0
appalling,-2.0
appease,2.0
appeased,2.0
appeases,2.0
appeasing,2.0
applaud,2.0
applauded,2.0
applauding,2.0
applauds,2.0
applause,2.0
appreciate,2.0
appreciated,2.0
appreciates,2.0
appreciating,2.0
appreciation,2.0
apprehensive,-2.0
approval,2.0
approved,2.0
approves,2.0
ardent,1.0
arrest,-2.0
arrested,-3.0
arrests,-2.0
arrogant,-2.0
ashame,-2.0
ashamed,-2.0
ass,-4.0
assassination,-3.0
assassinations,-3.0
asset,2.0
assets,2.0
assfucking,-4.0
asshole,-4.0
astonished,2.0
astound,3.0
astounded,3.0
astounding,3.0
astoundingly,3.0
astounds,3.0
